,index,source1,source2,SCOSS_count,SCOSS_set,SCOSS_hash,max_mark,real_mark,real_percentage
0,0,C31_ExA.py,ExA_solution.py,0.5652173913043479,0.6875,0.1964285714285714,14,12,0.8571
1,1,C32_ExA.py,ExA_solution.py,0.5384615384615384,0.738255033557047,0.2684563758389261,14,12,0.8571
2,2,C33_ExA.py,ExA_solution.py,0.36,0.4162162162162162,0.08648648648648649,14,9,0.6429
3,3,C34_ExA.py,ExA_solution.py,0.4814814814814815,0.6368421052631579,0.11578947368421055,14,7,0.5
4,4,C35_ExA.py,ExA_solution.py,0.5652173913043479,0.7206477732793521,0.534412955465587,14,12,0.8571
5,5,C36_ExA.py,ExA_solution.py,0.38095238095238093,0.3804347826086957,0.25,14,13,0.9286
6,6,C37_ExA.py,ExA_solution.py,0.26315789473684215,0.2682926829268293,0.016260162601625994,14,0,0.0
7,7,C38_ExA.py,ExA_solution.py,0.5,0.6780626780626781,0.19373219373219375,14,11,0.7857
8,8,C39_ExA.py,ExA_solution.py,0.4285714285714286,0.6234567901234568,0.16049382716049387,14,11,0.7857
9,9,C40_ExA.py,ExA_solution.py,0.4285714285714286,0.36575875486381326,0.1867704280155642,14,13,0.9286
